total_bills,paid_bills
2.10464E+11,1.30E+11
1.30121E+11,1.30E+11
1.30121E+11,1.30E+11
1.30121E+11,1.30E+11
1.30111E+11,1.30E+11
1.30122E+11,1.30E+11
1.30124E+11,1.30E+11
1.30E+11,1.30E+11
1.30E+11,1.30E+11
1.30E+11,1.30E+11
1.30E+11,1.30E+11
1.30E+11,1.30E+11
1.30E+11,1.30E+11
1.30E+11,1.30E+11
1.30E+11,1.30E+11
1.30E+11,2.10E+11
1.30E+11,2.10E+11
1.30E+11,2.10E+11
1.30E+11,2.10E+11
1.30E+11,2.10E+11
1.30E+11,2.10E+11
1.30E+11,2.10E+11
1.30E+11,2.10E+11
1.30E+11,2.10E+11
1.30E+11,2.10E+11
1.30E+11,2.10E+11
1.30E+11,2.10E+11
1.30E+11,2.10E+11
1.30E+11,2.10E+11
1.30E+11,2.10E+11
1.30E+11,2.10E+11
1.30E+11,2.10E+11
1.30E+11,2.10E+11
1.30E+11,2.10E+11
1.30E+11,2.10E+11
1.30E+11,2.10E+11
1.30E+11,2.10E+11
1.30E+11,2.10E+11
1.30E+11,2.10E+11
1.30E+11,2.10E+11
1.30E+11,2.10E+11
1.30E+11,2.10E+11
1.30E+11,2.10E+11
1.30E+11,2.10E+11
1.30E+11,2.10E+11
1.30E+11,2.10E+11
1.30E+11,2.10E+11
1.30E+11,2.10E+11
1.30E+11,2.10E+11
1.30E+11,2.10E+11
1.30E+11,2.10E+11
1.30E+11,2.10E+11
1.30E+11,2.10E+11
1.30E+11,2.10E+11
1.30E+11,2.10E+11
1.30E+11,2.10E+11
1.30E+11,2.10E+11
1.30E+11,2.10E+11
1.30E+11,2.10E+11
1.30E+11,2.10E+11
1.30E+11,2.10E+11
1.30E+11,2.10E+11
1.30E+11,2.10E+11
2.10E+11,2.10E+11
2.10E+11,2.10E+11
2.10E+11,2.10E+11
2.10E+11,2.10E+11
2.10E+11,2.10E+11
2.10E+11,2.10E+11
2.10E+11,2.10E+11
2.10E+11,2.10E+11
2.10E+11,2.10E+11
2.10E+11,2.10E+11
2.10E+11,2.10E+11
2.10E+11,2.10E+11
2.10E+11,2.10E+11
2.10E+11,2.10E+11
2.10E+11,2.10E+11
2.10E+11,2.10E+11
2.11E+11,2.10E+11
2.11E+11,2.10E+11
2.11E+11,2.10E+11
2.10E+11,2.10E+11
2.10E+11,2.10E+11
2.10E+11,2.10E+11
2.10E+11,2.10E+11
2.10E+11,2.10E+11
2.10E+11,2.10E+11
2.10E+11,2.10E+11
2.10E+11,2.10E+11
2.10E+11,2.10E+11
2.10E+11,2.10E+11
2.10E+11,2.10E+11
2.10E+11,2.10E+11
2.10E+11,2.10E+11
2.10E+11,2.10E+11
2.10E+11,2.10E+11
2.10E+11,2.10E+11
2.10E+11,2.10E+11
2.10E+11,2.10E+11
2.10E+11,2.10E+11
2.10E+11,2.10E+11
2.10E+11,2.10E+11
2.10E+11,2.10E+11
2.10E+11,2.10E+11
2.10E+11,2.10E+11
2.10E+11,2.11E+11
2.10E+11,2.11E+11
2.10E+11,2.11E+11
2.10E+11,2.11E+11
2.10E+11,2.11E+11
2.10E+11,2.11E+11
2.10E+11,2.11E+11
2.10E+11,2.11E+11
2.10E+11,2.11E+11
2.10E+11,2.11E+11
2.10E+11,2.11E+11
2.10E+11,2.11E+11
2.10E+11,2.11E+11
2.10E+11,2.11E+11
2.10E+11,2.11E+11
2.10E+11,2.11E+11
2.10E+11,2.11E+11
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.11E+11,
2.11E+11,
2.11E+11,
2.11E+11,
2.11E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.11E+11,
2.11E+11,
2.11E+11,
2.11E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.11E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.11E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
2.10E+11,
